Workspace,Theme Group,Original Report Name,Standardized Report Name,Report ID,Report URL
Digital marketing SQL,Digital Marketing Performance,Digital marketing Bionutrientes(SQL),Digital Marketing Performance - Bionutrientes (SQL),a5b91d8d-cd19-4504-9677-e8d462afd855,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/a5b91d8d-cd19-4504-9677-e8d462afd855
Digital marketing SQL,Digital Marketing Performance,Digital marketing Biosera(SQL),Digital Marketing Performance - Biosera (SQL),ee69f298-ff20-4e26-a750-b9abe0b7ca76,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/ee69f298-ff20-4e26-a750-b9abe0b7ca76
Digital marketing SQL,Digital Marketing Performance,Digital marketing BW (SQL),Digital Marketing Performance - BW (SQL),b5aff2e9-42c5-4d24-8aca-688c916fdbac,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/b5aff2e9-42c5-4d24-8aca-688c916fdbac
Digital marketing SQL,Digital Marketing Performance,Digital marketing BWUSA (SQL),Digital Marketing Performance - BWUSA (SQL),f0a28e05-7ffe-479a-baa1-c45818fd1501,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/f0a28e05-7ffe-479a-baa1-c45818fd1501
Digital marketing SQL,Digital Marketing Performance,Digital marketing Maymex (SQL),Digital Marketing Performance - Maymex (SQL),57a3e9da-c667-4182-a524-312aa0ef77d0,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/57a3e9da-c667-4182-a524-312aa0ef77d0
Digital marketing SQL,Digital Marketing Performance,Digital marketing MSE (SQL),Digital Marketing Performance - MSE (SQL),e6a3b69c-3461-458d-bb78-e614ca518e1c,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/e6a3b69c-3461-458d-bb78-e614ca518e1c
Digital marketing SQL,Digital Marketing Performance,Digital marketing Omega (SQL),Digital Marketing Performance - Omega (SQL),a58ea171-b51d-40c7-8871-d7b10dfa5d34,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/a58ea171-b51d-40c7-8871-d7b10dfa5d34
Digital marketing SQL,Digital Marketing Performance,Digital marketing ProBo (SQL),Digital Marketing Performance - ProBo (SQL),8d7d9f3e-1900-421d-b309-5c2c75e5158f,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/8d7d9f3e-1900-421d-b309-5c2c75e5158f
Digital marketing SQL,Digital Marketing Performance,Digital marketing ProInt (SQL),Digital Marketing Performance - ProInt (SQL),c0d0b840-feec-42ad-bb5d-ea55ae7971ca,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/c0d0b840-feec-42ad-bb5d-ea55ae7971ca
Digital marketing SQL,Digital Marketing Performance,Digital marketing ProNi (SQL),Digital Marketing Performance - ProNi (SQL),63ac8e7e-e118-4b3a-a78f-d2316c319ebe,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/63ac8e7e-e118-4b3a-a78f-d2316c319ebe
Digital marketing SQL,Digital Marketing Performance,Digital marketing ProPe(SQL),Digital Marketing Performance - ProPe (SQL),a4ab306d-3f02-45aa-8e33-0501af4be32d,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/a4ab306d-3f02-45aa-8e33-0501af4be32d
Digital marketing SQL,Digital Marketing Performance,test_conexion,Connection Test Report,722782e7-349d-45e3-814e-632123015917,https://app.powerbi.com/groups/9cd146e1-f17b-45ad-a818-0f30e38b52bf/reports/722782e7-349d-45e3-814e-632123015917
Konsolidator Dev,Financial Reporting,Financial Reporting,Financial Reporting,b30f07c8-9845-4335-b8ab-28cbfc851f82,https://app.powerbi.com/groups/ad7c6e4c-5ed4-424c-8d1a-41e42960bfad/reports/b30f07c8-9845-4335-b8ab-28cbfc851f82
Konsolidator main,Financial Reporting,Financial Reporting,Financial Reporting,de21380b-a7a7-4c53-8526-e9caad27248e,https://app.powerbi.com/groups/ffc4e686-626b-49c0-9f9e-41f3d2f56869/reports/de21380b-a7a7-4c53-8526-e9caad27248e
Patrick Konsolidator,Financial Reporting,Financial Reporting,Financial Reporting,9cf8499b-d36f-429a-b220-8ba8efbab534,https://app.powerbi.com/groups/6baaa3b4-9831-4b60-8a91-9678d759356e/reports/9cf8499b-d36f-429a-b220-8ba8efbab534
test,Financial Reporting,Financial Reporting,Financial Reporting,e238be5c-fbc0-4da3-a019-dcb150d39f66,https://app.powerbi.com/groups/889e8291-dfda-4876-b18a-cb135c3cd1fa/reports/e238be5c-fbc0-4da3-a019-dcb150d39f66
ContabilidadCSC,Financial Reporting,TransactionsVolume_Dashboard,Transaction Volume Overview,9fb49f9b-2a60-4e5e-9045-35a13d1f539b,https://app.powerbi.com/groups/e87b2faf-3e61-4c67-a8b4-75d83e493fb8/reports/9fb49f9b-2a60-4e5e-9045-35a13d1f539b
Forma 8,Forma 8 Reporting,F8_Consolidated,Forma 8 Consolidated Overview,298bbd42-c7f5-4491-a73d-9057ab3ce76f,https://app.powerbi.com/groups/f78e1c50-1537-49a4-a1bc-10c414e74c0f/reports/298bbd42-c7f5-4491-a73d-9057ab3ce76f
Forma 8 Aprex,Forma 8 Reporting,F8_Aprex,Forma 8 Aprex Overview,c57eaef2-2847-4c5e-850d-8f65fe3013f7,https://app.powerbi.com/groups/f51e8e9b-b41f-406d-80f3-c5be44a93766/reports/c57eaef2-2847-4c5e-850d-8f65fe3013f7
Forma 8 Aprex Dev,Forma 8 Reporting,F8_Aprex,Forma 8 Aprex Overview,e2050b17-9854-45cb-9258-66d39adb70db,https://app.powerbi.com/groups/8a7dd65f-273e-4670-8311-602f76df3b30/reports/e2050b17-9854-45cb-9258-66d39adb70db
Forma 8 Aprex Silver,Forma 8 Reporting,test_F8 ,Forma 8 Test Report,8aa2130c-e914-49e2-9685-63cb45973d41,https://app.powerbi.com/groups/294b6e7e-67d5-4e68-99c9-6ef2b74f6215/reports/8aa2130c-e914-49e2-9685-63cb45973d41
Forma 8 Biogan,Forma 8 Reporting,F8_Biogan,Forma 8 Biogan Overview,789102e5-3c26-4112-9a13-300f7f464c04,https://app.powerbi.com/groups/0bc6634a-f456-46df-a7c4-3a2f31ef81e0/reports/789102e5-3c26-4112-9a13-300f7f464c04
Forma 8 Biogan Dev,Forma 8 Reporting,F8_Biogan,Forma 8 Biogan Overview,09aa532f-d189-4c7c-9233-a8f9bffb7682,https://app.powerbi.com/groups/639a2d0b-4f55-4c32-be3b-f8d7c1a77e48/reports/09aa532f-d189-4c7c-9233-a8f9bffb7682
Forma 8 Biogan Develop,Forma 8 Reporting,F8_Biogan,Forma 8 Biogan Overview,bfe26152-be18-4c6b-a0c8-653317f42145,https://app.powerbi.com/groups/8dba3d44-4ae5-42c9-8963-adc20c8b954c/reports/bfe26152-be18-4c6b-a0c8-653317f42145
Forma 8 Corimex,Forma 8 Reporting,F8_Corimex,Forma 8 Corimex Overview,80175276-1236-426b-b65f-79af3446ad5b,https://app.powerbi.com/groups/ec72163b-9326-4faa-ae71-1b42bb38ecd8/reports/80175276-1236-426b-b65f-79af3446ad5b
Forma 8 Corimex Dev,Forma 8 Reporting,F8_Corimex,Forma 8 Corimex Overview,bda3b1f7-ca8e-4294-99e6-0b3811b8cb86,https://app.powerbi.com/groups/6d149aa4-532c-47d4-81c8-23aa36a2113b/reports/bda3b1f7-ca8e-4294-99e6-0b3811b8cb86
Forma 8 Guaimex,Forma 8 Reporting,F8_Guaimex,Forma 8 Guaimex Overview,f5123d4f-77e9-4e5b-9b99-7d84451f6aa5,https://app.powerbi.com/groups/4a1d2ca6-a45b-4e61-aad2-46cdfd7a1244/reports/f5123d4f-77e9-4e5b-9b99-7d84451f6aa5
Forma 8 Guaimex Dev,Forma 8 Reporting,F8_Guaimex,Forma 8 Guaimex Overview,025e6252-aa92-4284-afee-9bc2e0cb3ab5,https://app.powerbi.com/groups/4aed8197-e6af-464e-8c8b-b98d9fee17cf/reports/025e6252-aa92-4284-afee-9bc2e0cb3ab5
Forma 8 Honimex,Forma 8 Reporting,F8_Honimex,Forma 8 Honimex Overview,24d131dc-809d-4f65-999f-3831564d0288,https://app.powerbi.com/groups/57bc8e09-f37a-477b-bf44-0a525ee4639b/reports/24d131dc-809d-4f65-999f-3831564d0288
Forma 8 Honimex Dev,Forma 8 Reporting,F8_Honimex,Forma 8 Honimex Overview,a73a0ab1-cd45-4fb9-9959-e7dbd9c68232,https://app.powerbi.com/groups/fdf52506-bc2b-44c7-a77e-ab5a677a5836/reports/a73a0ab1-cd45-4fb9-9959-e7dbd9c68232
Forma 8 Nicamex,Forma 8 Reporting,F8_Nicamex,Forma 8 Nicamex Overview,849bfdef-562a-42bc-8108-6b034739340f,https://app.powerbi.com/groups/6b3aed20-aa73-474d-b806-ac31b2604166/reports/849bfdef-562a-42bc-8108-6b034739340f
